Entity,Code,Year,Geothermal (total)
Africa,OWID_AFR,2000,65.3
Africa,OWID_AFR,2001,65.3
Africa,OWID_AFR,2002,65.3
Africa,OWID_AFR,2003,65.3
Africa,OWID_AFR,2004,135.3
Africa,OWID_AFR,2005,135.3
Africa,OWID_AFR,2006,135.3
Africa,OWID_AFR,2007,135.3
Africa,OWID_AFR,2008,135.3
Africa,OWID_AFR,2009,170.3
Africa,OWID_AFR,2010,205.3
Africa,OWID_AFR,2011,205.3
Africa,OWID_AFR,2012,212.8
Africa,OWID_AFR,2013,212.8
Africa,OWID_AFR,2014,373.4
Africa,OWID_AFR,2015,626.2
Africa,OWID_AFR,2016,660.2
Africa,OWID_AFR,2017,680.2
Africa,OWID_AFR,2018,691.1
Africa,OWID_AFR,2019,691.1
Africa,OWID_AFR,2020,870.43
Africa,OWID_AFR,2021,870.43
Africa,OWID_AFR,2022,957.02997
Africa,OWID_AFR,2023,992.02997
Africa,OWID_AFR,2024,947.02997
Africa,OWID_AFR,2025,932.72
Argentina,ARG,2000,0.6
Argentina,ARG,2001,0.6
Argentina,ARG,2002,0.6
Argentina,ARG,2003,0.6
Argentina,ARG,2004,0.6
Argentina,ARG,2005,0.6
Argentina,ARG,2006,0.6
Argentina,ARG,2007,0.6
Argentina,ARG,2008,0.6
Asia,OWID_ASI,2000,2944.65
Asia,OWID_ASI,2001,3204.65
Asia,OWID_ASI,2002,3204.65
Asia,OWID_ASI,2003,3223.65
Asia,OWID_ASI,2004,3238.65
Asia,OWID_ASI,2005,3268.65
Asia,OWID_ASI,2006,3273.65
Asia,OWID_ASI,2007,3403.65
Asia,OWID_ASI,2008,3485.75
Asia,OWID_ASI,2009,3672.75
Asia,OWID_ASI,2010,3691.05
Asia,OWID_ASI,2011,3750.15
Asia,OWID_ASI,2012,3883.15
Asia,OWID_ASI,2013,4039.45
Asia,OWID_ASI,2014,4258.85
Asia,OWID_ASI,2015,4520.45
Asia,OWID_ASI,2016,4822.45
Asia,OWID_ASI,2017,5285.516
Asia,OWID_ASI,2018,5658.113
Asia,OWID_ASI,2019,6080.552
Asia,OWID_ASI,2020,6185.342
Asia,OWID_ASI,2021,6407.684
Asia,OWID_ASI,2022,6451.5312
Asia,OWID_ASI,2023,6730.041
Asia,OWID_ASI,2024,6818.515
Asia,OWID_ASI,2025,7061.1147
Australia,AUS,2000,0.2
Australia,AUS,2001,0.2
Australia,AUS,2002,0.2
Australia,AUS,2003,0.1
Australia,AUS,2004,0.1
Australia,AUS,2005,0.2
Australia,AUS,2006,0.1
Australia,AUS,2007,0.1
Australia,AUS,2008,0.1
Australia,AUS,2009,0.1
Australia,AUS,2010,0.1
Australia,AUS,2011,0.1
Australia,AUS,2012,0.1
Australia,AUS,2013,0.1
Australia,AUS,2014,0.1
Australia,AUS,2015,0.1
Australia,AUS,2016,0.1
Australia,AUS,2017,0.1
Australia,AUS,2018,0.1
Australia,AUS,2019,0.1
Australia,AUS,2020,0.1
Australia,AUS,2021,0.1
Australia,AUS,2022,0.1
Australia,AUS,2023,0.1
Australia,AUS,2024,0.1
Australia,AUS,2025,0.1
Austria,AUT,2002,2
Austria,AUT,2003,2
Austria,AUT,2004,2
Austria,AUT,2005,0.915
Austria,AUT,2006,0.915
Austria,AUT,2007,0.915
Austria,AUT,2008,0.915
Austria,AUT,2009,0.915
Austria,AUT,2010,0.915
Austria,AUT,2011,0.915
Austria,AUT,2012,0.915
