time,ws100,ghi,dni,dhi,t2m
2020-01-01 00:00:00,4.550,0.000,0.000,0.000,0.700
2020-01-01 01:00:00,4.520,0.000,0.000,0.000,0.200
2020-01-01 02:00:00,4.770,0.000,0.000,0.000,-0.800
2020-01-01 03:00:00,4.680,0.000,0.000,0.000,-0.500
2020-01-01 04:00:00,4.320,0.000,0.000,0.000,-1.300
2020-01-01 05:00:00,4.120,0.000,0.000,0.000,-1.200
2020-01-01 06:00:00,3.980,0.000,0.000,0.000,-1.700
2020-01-01 07:00:00,4.520,0.000,0.000,0.000,-1.800
2020-01-01 08:00:00,4.600,3.000,0.000,3.000,-1.100
2020-01-01 09:00:00,4.190,44.000,166.000,28.000,-0.400
2020-01-01 10:00:00,3.990,89.000,181.600,56.000,0.300
2020-01-01 11:00:00,3.860,138.000,291.200,70.000,1.400
2020-01-01 12:00:00,3.750,165.000,362.400,75.000,1.700
2020-01-01 13:00:00,3.610,154.000,382.000,68.000,2.000
2020-01-01 14:00:00,4.370,121.000,435.200,49.000,2.000
2020-01-01 15:00:00,5.440,44.000,288.700,22.000,0.700
2020-01-01 16:00:00,6.220,1.000,0.000,1.000,-0.200
2020-01-01 17:00:00,6.660,0.000,0.000,0.000,-0.600
2020-01-01 18:00:00,6.900,0.000,0.000,0.000,-0.800
2020-01-01 19:00:00,6.800,0.000,0.000,0.000,-1.000
2020-01-01 20:00:00,7.050,0.000,0.000,0.000,-1.300
2020-01-01 21:00:00,7.360,0.000,0.000,0.000,-1.400
2020-01-01 22:00:00,7.280,0.000,0.000,0.000,-1.400
2020-01-01 23:00:00,6.580,0.000,0.000,0.000,-1.600
2020-01-02 00:00:00,5.750,0.000,0.000,0.000,-2.400
2020-01-02 01:00:00,5.410,0.000,0.000,0.000,-2.900
2020-01-02 02:00:00,5.520,0.000,0.000,0.000,-3.200
2020-01-02 03:00:00,6.000,0.000,0.000,0.000,-3.000
2020-01-02 04:00:00,6.300,0.000,0.000,0.000,-2.800
2020-01-02 05:00:00,6.630,0.000,0.000,0.000,-2.700
2020-01-02 06:00:00,6.720,0.000,0.000,0.000,-2.500
2020-01-02 07:00:00,6.910,0.000,0.000,0.000,-2.300
2020-01-02 08:00:00,7.180,4.000,19.100,3.000,-2.000
2020-01-02 09:00:00,7.080,62.000,340.500,29.000,-0.800
2020-01-02 10:00:00,6.150,132.000,460.100,48.000,0.900
2020-01-02 11:00:00,6.240,178.000,447.300,73.000,1.700
2020-01-02 12:00:00,5.750,175.000,384.200,79.000,2.000
2020-01-02 13:00:00,6.060,158.000,374.600,73.000,2.100
2020-01-02 14:00:00,6.740,97.000,328.400,42.000,1.600
2020-01-02 15:00:00,7.000,33.000,168.000,20.000,0.900
2020-01-02 16:00:00,7.220,0.000,0.000,0.000,0.300
2020-01-02 17:00:00,7.590,0.000,0.000,0.000,0.800
2020-01-02 18:00:00,7.820,0.000,0.000,0.000,1.100
2020-01-02 19:00:00,8.070,0.000,0.000,0.000,1.500
2020-01-02 20:00:00,8.410,0.000,0.000,0.000,1.800
2020-01-02 21:00:00,8.600,0.000,0.000,0.000,2.300
2020-01-02 22:00:00,8.720,0.000,0.000,0.000,2.800
2020-01-02 23:00:00,9.000,0.000,0.000,0.000,3.100
2020-01-03 00:00:00,9.400,0.000,0.000,0.000,3.100
2020-01-03 01:00:00,9.320,0.000,0.000,0.000,3.200
2020-01-03 02:00:00,9.310,0.000,0.000,0.000,3.400
2020-01-03 03:00:00,9.800,0.000,0.000,0.000,3.900
2020-01-03 04:00:00,9.790,0.000,0.000,0.000,4.300
2020-01-03 05:00:00,9.730,0.000,0.000,0.000,4.800
2020-01-03 06:00:00,9.600,0.000,0.000,0.000,5.000
2020-01-03 07:00:00,9.300,0.000,0.000,0.000,5.400
2020-01-03 08:00:00,9.390,1.000,0.000,1.000,5.600
2020-01-03 09:00:00,9.490,14.000,0.000,14.000,5.900
2020-01-03 10:00:00,9.050,21.000,0.000,21.000,6.600
2020-01-03 11:00:00,9.120,27.000,0.000,27.000,7.100
2020-01-03 12:00:00,9.270,39.000,4.000,38.000,7.500
2020-01-03 13:00:00,9.400,17.000,0.000,17.000,7.600
2020-01-03 14:00:00,9.480,15.000,0.000,15.000,7.800
2020-01-03 15:00:00,9.770,5.000,0.000,5.000,8.000
2020-01-03 16:00:00,9.920,0.000,0.000,0.000,8.100
2020-01-03 17:00:00,9.710,0.000,0.000,0.000,8.000
2020-01-03 18:00:00,9.100,0.000,0.000,0.000,8.000
2020-01-03 19:00:00,9.630,0.000,0.000,0.000,7.500
2020-01-03 20:00:00,10.270,0.000,0.000,0.000,6.000
2020-01-03 21:00:00,9.040,0.000,0.000,0.000,5.300
2020-01-03 22:00:00,8.100,0.000,0.000,0.000,4.700
2020-01-03 23:00:00,8.860,0.000,0.000,0.000,4.700
2020-01-04 00:00:00,9.110,0.000,0.000,0.000,4.800
2020-01-04 01:00:00,9.100,0.000,0.000,0.000,4.500
2020-01-04 02:00:00,9.620,0.000,0.000,0.000,4.100
2020-01-04 03:00:00,9.840,0.000,0.000,0.000,3.800
2020-01-04 04:00:00,9.910,0.000,0.000,0.000,3.800
2020-01-04 05:00:00,10.340,0.000,0.000,0.000,4.300
2020-01-04 06:00:00,10.770,0.000,0.000,0.000,4.700
2020-01-04 07:00:00,11.060,0.000,0.000,0.000,5.000
2020-01-04 08:00:00,11.330,2.000,0.000,2.000,5.400
2020-01-04 09:00:00,11.860,22.000,0.000,22.000,5.600
2020-01-04 10:00:00,11.990,42.000,5.400,41.000,5.900
2020-01-04 11:00:00,12.550,57.000,8.400,55.000,6.100
2020-01-04 12:00:00,12.700,54.000,15.800,50.000,6.300
2020-01-04 13:00:00,12.140,31.000,0.000,31.000,6.700
2020-01-04 14:00:00,11.890,40.000,52.400,31.000,6.500
2020-01-04 15:00:00,11.200,6.000,0.000,6.000,5.700
2020-01-04 16:00:00,9.440,0.000,0.000,0.000,4.900
2020-01-04 17:00:00,8.820,0.000,0.000,0.000,4.400
2020-01-04 18:00:00,8.770,0.000,0.000,0.000,3.900
2020-01-04 19:00:00,8.410,0.000,0.000,0.000,3.200
2020-01-04 20:00:00,7.920,0.000,0.000,0.000,2.900
2020-01-04 21:00:00,7.910,0.000,0.000,0.000,3.200
2020-01-04 22:00:00,7.720,0.000,0.000,0.000,2.400
2020-01-04 23:00:00,7.210,0.000,0.000,0.000,2.300
2020-01-05 00:00:00,7.040,0.000,0.000,0.000,2.200
2020-01-05 01:00:00,7.090,0.000,0.000,0.000,2.600
2020-01-05 02:00:00,6.910,0.000,0.000,0.000,2.500
2020-01-05 03:00:00,6.550,0.000,0.000,0.000,2.500
2020-01-05 04:00:00,6.600,0.000,0.000,0.000,2.000
2020-01-05 05:00:00,6.830,0.000,0.000,0.000,1.500
2020-01-05 06:00:00,6.800,0.000,0.000,0.000,0.600
2020-01-05 07:00:00,6.010,0.000,0.000,0.000,0.100
2020-01-05 08:00:00,5.190,4.000,19.100,3.000,-0.300
2020-01-05 09:00:00,4.770,58.000,282.100,30.000,0.800
2020-01-05 10:00:00,4.950,98.000,274.500,47.000,2.100
2020-01-05 11:00:00,5.130,101.000,200.900,53.000,3.200
